DISTRICT,XBLOCK,YBLOCK
2,397171,137408
2,396166,136720
2,397002,137829
1,400233,136927
1,397497,136718
2,394459,141888
2,396306,137054
6,404085,137618
2,392607,143559
2,395250,137117
1,399950,135588
7,400366,132181
3,397497,138792
3,397583,140256
2,397115,137977
6,402712,134143
3,397044,139950
3,398093,139178
3,398500,138891
4,397476,140916
2,393985,137370
6,406294,137293
7,402781,131636
1,400384,135773
5,401977,139093
5,399081,138710
7,401821,132097
1,398469,134448
2,396171,137945
4,397840,141080
7,400588,129470
5,399886,138468
2,393622,144113
2,392810,143050
2,392810,143050
6,406139,136306
7,401448,130622
7,399283,129409
1,398779,134606
2,393574,140542
7,402596,132669
2,392607,143559
3,396835,139331
7,401280,133168
4,399058,143187
5,400061,140077
5,401480,136535
4,397780,145177
2,397115,137977
1,398477,136329
6,403565,132222
2,393192,143238
4,398310,142226
6,402534,134051
1,400436,135043
5,400284,140169
7,400709,129315
2,393173,142324
4,397884,141009
1,400332,136575
2,396559,137255
2,394546,144651
3,397162,140182
2,394411,144651
4,399091,144905
5,399511,138916
4,397242,140903
1,401480,135898
2,395965,138725
6,404809,135948
3,397330,138792
6,405230,137855
2,391033,140677
2,391033,140677
1,400541,136389
6,403450,135827
4,397293,141435
7,400040,129143
4,397904,140846
7,400366,132181
7,402457,132460
3,397328,139157
5,400212,137949
5,401013,141195
4,398816,143246
6,406577,136220
2,396915.49,137186.09
4,397485,141199
5,400793,137241
5,401980,136515
5,401551,140786
5,401171,140707
3,397921,138510
7,400901,133403
1,397920,136943
7,399819,128990
3,397497,138792
7,399411,129279
2,393962,141246
4,400113,143689
3,397655,138026
7,399489,129315
2,395460,137710
3,396836,140005
4,398275,144342
6,405836,136974
4,398275,144342
5,398847,138712
7,400297,129240
5,401755,138659
1,400435,134906
5,401644,140022
3,397529,139979
4,397162,141051
7,401064,129644
5,402239,139685
1,398098,136193
1,400589,135069
3,397375,138140
7,401058,129397
7,401021,132119
5,401996,136793
1,398098,136808
2,394956,145142
2,394743,138071
3,397863,138991
3,396749,138793
6,404085,137618
3,397044,139950
3,397294,140084
1,398469,134448
1,401897,135773
5,401118,139182
3,396749,138793
5,402158,138824
1,400638,137220
4,399852,143321
1,400232,135255
2,396232,137848
5,398640,137975
4,398437,144742
1,401605,135279
4,398566,142236
2,395123,138548
5,399887,139150
1,397700,136611
3,397921,138510
2,395123,138548
1,398779,134606
3,398058,139487
2,394963,143679
3,398256,138689
3,398671,137665
6,401416,133447
6,402423,134032
5,400616,137337
6,405237,138096
7,402765,131175
5,401258,140658
6,403749,135661
7,401395,130895
5,399545,137868
4,397071,140817
6,401980,133990
7,402312,131041
1,400331,134630
4,397581,141846
2,394504,137348
3,398186,137531
4,398210,145207
7,399846,129919
7,402374,132186
5,402007,136927
7,400668,130611
3,397233,139278
2,396312,138086
2,395767,137916
6,402073,133900
6,405991,137988
2,394361,137299
6,405146,137429
4,399852,143321
5,401907,140800
1,397607,136337
7,402985,131495
1,399491,134192
2,395377,137400
5,401302,137158
3,397041,139564
3,397904,139683
3,398099,138551
5,398597,138341
1,400332,137356
5,400954,137154
7,400086,130650
1,397607,136337
7,399687,129133
3,397162,140182
5,398588,138491
6,404579,137347
2,394548,137621
5,399695,137774
5,402007,137094
2,394489,142421
6,406152,135485
1,398098,136808
1,398315,136884
4,397834,146152
3,397497,138634
2,392925,142759
2,396522,137709
5,400739,139846
5,399446,138633
2,396386,138429
4,397825,144310
4,399087,142997
1,399822,135101
1,398098,136401
4,399680,143441
2,393843,137761
5,401050,137803
5,400789,137372
1,400489,136425
6,401745,133453
7,399831,128349
4,398466,142875
5,403459,140142
3,396662,138264
2,397171,137408
5,400654,140233
2,396171,137945
7,399554,129876
2,396697,137769
1,400436,135441
4,398063,143223
5,402709,140283
4,397946,145484
3,398154,139534
6,405737,134058
3,398091,140566
3,398417,138880
4,396736,140470
4,399995,143706
5,400739,139846
2,394312,138199
4,397422,140620
1,400734,137117
1,400541,134906
7,399874,128589
3,396412,139848
6,404450,132969
7,400691,130446
3,397830,140337
3,396630,139206
6,406071,136119
7,400133,130948
2,396307.07,137186.46
2,395915,138306
6,405419,138290
7,400218,130020
2,394630,144151
4,397660,143267
5,400995,138511
6,402427,132897
4,397696,146236
2,393619,143740
2,393716,140572
4,398437,143827
3,397184,139908
2,395260,138947
7,401637,129905
1,398098,136808
6,403569,136017
5,400139,137702
5,399887,139150
4,398519,144817
4,397798,146017
3,397746,137783
5,401734,140028
3,398619,138815
6,405084,135772
5,399489,137576
6,406767,136193
4,397207,146594
7,399228,128424
5,401792,141464
2,394459,141888
5,401258,137689
1,398315,136884
6,405836,136773
5,400954,137154
4,401242,142537
2,393843,137761
6,404186,136126
1,400365,137184
3,397655,139302
3,397162,140182
3,397162,140182
1,397563,136543
1,398333,135475
1,397700,136611
6,406741,135941
5,402823,139389
1,399446,137021
7,400040,129143
4,397088,140956
5,402071,138561
5,401740,137077
4,397162,141848
4,397032,142909
2,394459,141888
2,397171,137408
3,397655,139302
2,396916,137533
5,401746,136243
1,401257,136259
4,398193,142564
1,400233,135898
1,398469,134448
6,406468,136130
7,401183,132940
5,402570,136534
2,395202,139830
2,391302,139247
4,398374,142937
1,400330,135430
2,394304,137475
2,390733,139930
2,396163,137783
5,399343,138672
2,394449,137479
5,399612,137531
1,398358,136942
3,398058,139487
5,401560,137150
5,399695,137774
5,401907,140800
6,402357,134072
5,398880,137708
7,402670,131549
4,398275,144278
5,400212,137949
4,397603,144181
1,398185,136610
5,402240,136888
4,399390,143840
6,404085,137618
5,402219,138565
2,396679,136990
7,399950,128916
3,398099,137299
1,398185,136884
3,398477,137531
7,399848,128205
4,396973,143787
6,404402,132787
3,395984,138616
6,402595,132803
6,402357,134072
3,397329,138305
4,397102,143634
5,400606,140286
1,400790,135836
1,400930,134507
2,396046,138387
6,406148,134619
1,399694,135009
6,406683,137294
4,400537,142262
1,399886,134826
1,400042,137425
3,398010,138697
4,396735,146442
1,399213,137056
5,401529,140070
6,405640,135455
5,399330,138821
2,395654,137600
4,401024,142395
5,402216,139352
1,401668,135588
6,405525,136452
5,398946,139092
7,399330,128102
3,398273,137620
3,397228,138674
2,396523,137976
6,404741,134683
1,399078,136928
3,398403,138469
2,397115,137977
7,399037,128205
3,397138,139417
3,397277,137638
2,391035,139374
6,406827,136094
5,402348,140306
7,399489,129417
5,401880,141604
6,404541,136535
2,394088,138708
5,401169,138368
1,400846,134967
5,401707,136161
4,398356,143711
1,401014,136958
5,399080,138304
1,400232,135255
7,400664,132892
1,398779,134606
1,401480,135528
7,401930,130945
1,397699,136718
7,400504,129677
4,398598,143788
3,396273,139190
5,402021,137529
1,400489,136326
5,400544,138310
5,403262,139389
3,396942,139389
5,402942,139745
1,400042,137118
6,402744,133657
3,398057,140312
4,397633,144615
3,398485,138469
2,395664.92,137186.89
3,396455,139555
2,397171,137408
4,397919,140717
5,401783,137594
5,401783,137594
1,400686,136609
4,397161,140549
2,393009,139471
5,400384,140388
5,401687,137584
2,393677,142800
6,404327,132982
3,396596,138938
5,398640,137782
3,398385,138705
4,397293,141316
6,403507,132674
7,401930,130945
2,393843,137761
4,397577,143785
3,398122,139889
2,394548,137621
2,393961,137560
5,401728,138813
2,390918,140658
5,400246,139229
2,392607,143559
5,403767,139839
7,400042,130002
3,397116,138388
4,396736,140470
3,397746,137620
3,398116,139949
4,397323,140483
